Time	ThroughputH1	ThroughputH2	ThroughputH5
30	0.53247999999999995	0.46592	0.0
31	0.54079999999999995	0.45760000000000001	0.0
32	0.44096000000000002	0.53247999999999995	0.0
33	0.54079999999999995	0.48255999999999999	0.0
34	0.49919999999999998	0.50751999999999997	0.0
35	0.47423999999999999	0.52415999999999996	0.0
36	0.45760000000000001	0.47423999999999999	0.0
37	0.53247999999999995	0.53247999999999995	0.0
38	0.49087999999999998	0.50751999999999997	0.0
39	0.43264000000000002	0.45760000000000001	0.0
40	0.60736000000000001	0.48255999999999999	0.0
41	0.49087999999999998	0.53247999999999995	0.0
42	0.52415999999999996	0.47423999999999999	0.0
43	0.47423999999999999	0.43264000000000002	0.0
44	0.48255999999999999	0.61568000000000001	0.0
45	0.46592	0.53247999999999995	0.0
46	0.54912000000000005	0.44928000000000001	0.0
47	0.44096000000000002	0.47423999999999999	0.0
48	0.55744000000000005	0.52415999999999996	0.0
49	0.49919999999999998	0.50751999999999997	0.0
50	0.52415999999999996	0.47423999999999999	0.0
51	0.37440000000000001	0.45760000000000001	0.0
52	0.60736000000000001	0.55744000000000005	0.0
53	0.47423999999999999	0.52415999999999996	0.0
54	0.49919999999999998	0.50751999999999997	0.0
55	0.49919999999999998	0.48255999999999999	0.0
56	0.54079999999999995	0.47423999999999999	0.0
57	0.49919999999999998	0.49919999999999998	0.0
58	0.51583999999999997	0.48255999999999999	0.0
59	0.39935999999999999	0.49919999999999998	0.0
60	0.58240000000000003	0.52415999999999996	0.0
61	0.44928000000000001	0.54912000000000005	0.0
62	0.53247999999999995	0.46592	0.0
63	0.50751999999999997	0.41599999999999998	0.0
64	0.52415999999999996	0.54912000000000005	0.0
65	0.45760000000000001	0.54912000000000005	0.0
66	0.53247999999999995	0.46592	0.0
67	0.44928000000000001	0.51583999999999997	0.0
68	0.51583999999999997	0.51583999999999997	0.0
69	0.48255999999999999	0.51583999999999997	0.0
70	0.52415999999999996	0.48255999999999999	0.0
71	0.48255999999999999	0.44096000000000002	0.0
72	0.52415999999999996	0.54912000000000005	0.0
73	0.52415999999999996	0.47423999999999999	0.0
74	0.51583999999999997	0.48255999999999999	0.0
75	0.46592	0.53247999999999995	0.0
76	0.51583999999999997	0.49087999999999998	0.0
77	0.44928000000000001	0.54912000000000005	0.0
78	0.39935999999999999	0.48255999999999999	0.0
79	0.63231999999999999	0.47423999999999999	0.0
80	0.53247999999999995	0.48255999999999999	0.0
81	0.45760000000000001	0.54079999999999995	0.0
82	0.44096000000000002	0.45760000000000001	0.0
83	0.59904000000000002	0.49919999999999998	0.0
84	0.46592	0.53247999999999995	0.0
85	0.46592	0.53247999999999995	0.0
86	0.44096000000000002	0.36608000000000002	0.0
87	0.59072000000000002	0.60736000000000001	0.0
88	0.52415999999999996	0.47423999999999999	0.0
89	0.49919999999999998	0.49919999999999998	0.0
90	0.44928000000000001	0.39104	0.0
91	0.53247999999999995	0.63231999999999999	0.0
92	0.50751999999999997	0.49087999999999998	0.0
93	0.45760000000000001	0.54079999999999995	0.0
94	0.47423999999999999	0.39935999999999999	0.0
95	0.53247999999999995	0.59072000000000002	0.0
96	0.54912000000000005	0.45760000000000001	0.0
97	0.46592	0.53247999999999995	0.0
98	0.51583999999999997	0.39104	0.0
99	0.52415999999999996	0.56576000000000004	0.0
100	0.48255999999999999	0.51583999999999997	0.0
101	0.45760000000000001	0.54912000000000005	0.0
102	0.50751999999999997	0.43264000000000002	0.0
103	0.53247999999999995	0.52415999999999996	0.0
104	0.52415999999999996	0.47423999999999999	0.0
105	0.47423999999999999	0.52415999999999996	0.0
106	0.53247999999999995	0.44928000000000001	0.0
107	0.49087999999999998	0.53247999999999995	0.0
108	0.46592	0.53247999999999995	0.0
109	0.45760000000000001	0.54079999999999995	0.0
110	0.53247999999999995	0.45760000000000001	0.0
111	0.49087999999999998	0.51583999999999997	0.0
112	0.54079999999999995	0.46592	0.0
113	0.48255999999999999	0.51583999999999997	0.0
114	0.50751999999999997	0.47423999999999999	0.0
115	0.49919999999999998	0.51583999999999997	0.0
116	0.50751999999999997	0.49087999999999998	0.0
117	0.45760000000000001	0.44928000000000001	0.0
118	0.48255999999999999	0.60736000000000001	0.0
119	0.53247999999999995	0.47423999999999999	0.0
120	0.54912000000000005	0.44928000000000001	0.0
121	0.44928000000000001	0.44096000000000002	0.0
122	0.52415999999999996	0.59072000000000002	0.0
123	0.53247999999999995	0.46592	0.0
124	0.44928000000000001	0.54912000000000005	0.0
125	0.47423999999999999	0.45760000000000001	0.0
126	0.52415999999999996	0.54079999999999995	0.0
127	0.50751999999999997	0.49919999999999998	0.0
128	0.52415999999999996	0.47423999999999999	0.0
129	0.49919999999999998	0.45760000000000001	0.0
130	0.50751999999999997	0.53247999999999995	0.0
131	0.48255999999999999	0.51583999999999997	0.0
132	0.50751999999999997	0.49919999999999998	0.0
133	0.48255999999999999	0.51583999999999997	0.0
134	0.47423999999999999	0.52415999999999996	0.0
135	0.49919999999999998	0.49919999999999998	0.0
136	0.55744000000000005	0.44096000000000002	0.0
137	0.40767999999999999	0.50751999999999997	0.0
138	0.55744000000000005	0.53247999999999995	0.0
139	0.53247999999999995	0.46592	0.0
140	0.46592	0.53247999999999995	0.0
141	0.41599999999999998	0.50751999999999997	0.0
142	0.54912000000000005	0.52415999999999996	0.0
143	0.54912000000000005	0.45760000000000001	0.0
144	0.52415999999999996	0.47423999999999999	0.0
145	0.44096000000000002	0.53247999999999995	0.0
146	0.54079999999999995	0.48255999999999999	0.0
147	0.50751999999999997	0.49087999999999998	0.0
148	0.48255999999999999	0.52415999999999996	0.0
149	0.44096000000000002	0.48255999999999999	0.0
