Time	ThroughputH1	ThroughputH2	ThroughputH5
30	0.43264000000000002	0.48255999999999999	0.0
30.5	0.49919999999999998	0.58240000000000003	0.0
31	0.26623999999999998	0.59904000000000002	0.0
31.5	0.18304000000000001	0.89856000000000003	0.0
32	0.13311999999999999	0.88192000000000004	0.0
32.5	0.19968	0.56576000000000004	0.0
33	0.81535999999999997	0.34943999999999997	0.0
33.5	0.29952000000000001	0.61568000000000001	0.0
34	0.11648	0.93184	0.0
34.5	0.11648	0.86528000000000005	0.0
35	0.29952000000000001	0.76544000000000001	0.0
35.5	0.38272	0.61568000000000001	0.0
36	0.64895999999999998	0.34943999999999997	0.0
36.5	0.58240000000000003	0.24959999999999999	0.0
37	1.0483199999999999	0.11648	0.0
37.5	0.64895999999999998	0.34943999999999997	0.0
38	0.33279999999999998	0.56576000000000004	0.0
38.5	0.36608000000000002	0.73216000000000003	0.0
39	0.44928000000000001	0.48255999999999999	0.0
39.5	0.61568000000000001	0.46592	0.0
40	0.36608000000000002	0.56576000000000004	0.0
40.5	0.54912000000000005	0.51583999999999997	0.0
41	0.64895999999999998	0.21632000000000001	0.0
41.5	0.48255999999999999	0.64895999999999998	0.0
42	0.43264000000000002	0.49919999999999998	0.0
42.5	0.53247999999999995	0.53247999999999995	0.0
43	0.33279999999999998	0.58240000000000003	0.0
43.5	0.31616	0.66559999999999997	0.0
44	0.28288000000000002	0.74880000000000002	0.0
44.5	0.51583999999999997	0.43264000000000002	0.0
45	0.74880000000000002	0.38272	0.0
45.5	0.53247999999999995	0.46592	0.0
46	0.61568000000000001	0.38272	0.0
46.5	0.53247999999999995	0.46592	0.0
47	0.71552000000000004	0.28288000000000002	0.0
47.5	0.59904000000000002	0.39935999999999999	0.0
48	0.76544000000000001	0.23296	0.0
48.5	0.63231999999999999	0.36608000000000002	0.0
49	0.66559999999999997	0.33279999999999998	0.0
49.5	0.64895999999999998	0.36608000000000002	0.0
50	0.41599999999999998	0.46592	0.0
50.5	0.64895999999999998	0.43264000000000002	0.0
51	0.38272	0.64895999999999998	0.0
51.5	0.16639999999999999	0.71552000000000004	0.0
52	0.26623999999999998	0.69887999999999995	0.0
52.5	0.41599999999999998	0.73216000000000003	0.0
53	0.41599999999999998	0.58240000000000003	0.0
53.5	0.68223999999999996	0.23296	0.0
54	0.74880000000000002	0.33279999999999998	0.0
54.5	0.66559999999999997	0.34943999999999997	0.0
55	0.63231999999999999	0.36608000000000002	0.0
55.5	0.59904000000000002	0.38272	0.0
56	0.73216000000000003	0.28288000000000002	0.0
56.5	0.41599999999999998	0.58240000000000003	0.0
57	0.48255999999999999	0.51583999999999997	0.0
57.5	0.28288000000000002	0.66559999999999997	0.0
58	0.56576000000000004	0.38272	0.0
58.5	0.59904000000000002	0.49919999999999998	0.0
59	0.34943999999999997	0.64895999999999998	0.0
59.5	0.28288000000000002	0.69887999999999995	0.0
60	0.21632000000000001	0.76544000000000001	0.0
60.5	0.36608000000000002	0.59904000000000002	0.0
61	0.66559999999999997	0.33279999999999998	0.0
61.5	0.54912000000000005	0.44928000000000001	0.0
62	0.48255999999999999	0.51583999999999997	0.0
62.5	0.36608000000000002	0.58240000000000003	0.0
63	0.49919999999999998	0.43264000000000002	0.0
63.5	0.61568000000000001	0.51583999999999997	0.0
64	0.31616	0.59904000000000002	0.0
64.5	0.49919999999999998	0.58240000000000003	0.0
65	0.38272	0.61568000000000001	0.0
65.5	0.59904000000000002	0.36608000000000002	0.0
66	0.44928000000000001	0.58240000000000003	0.0
66.5	0.23296	0.76544000000000001	0.0
67	0.49919999999999998	0.49919999999999998	0.0
67.5	0.41599999999999998	0.53247999999999995	0.0
68	0.51583999999999997	0.51583999999999997	0.0
68.5	0.49919999999999998	0.53247999999999995	0.0
69	0.33279999999999998	0.66559999999999997	0.0
69.5	0.41599999999999998	0.58240000000000003	0.0
70	0.26623999999999998	0.64895999999999998	0.0
70.5	0.64895999999999998	0.43264000000000002	0.0
71	0.61568000000000001	0.38272	0.0
71.5	0.41599999999999998	0.58240000000000003	0.0
72	0.41599999999999998	0.58240000000000003	0.0
72.5	0.43264000000000002	0.56576000000000004	0.0
73	0.46592	0.48255999999999999	0.0
73.5	0.63231999999999999	0.26623999999999998	0.0
74	0.43264000000000002	0.73216000000000003	0.0
74.5	0.44928000000000001	0.54912000000000005	0.0
75	0.23296	0.69887999999999995	0.0
75.5	0.21632000000000001	0.81535999999999997	0.0
76	0.74880000000000002	0.26623999999999998	0.0
76.5	0.78208	0.18304000000000001	0.0
77	0.48255999999999999	0.39935999999999999	0.0
77.5	0.28288000000000002	0.73216000000000003	0.0
78	0.36608000000000002	0.59904000000000002	0.0
78.5	0.53247999999999995	0.58240000000000003	0.0
79	0.54912000000000005	0.43264000000000002	0.0
79.5	0.43264000000000002	0.58240000000000003	0.0
80	0.48255999999999999	0.51583999999999997	0.0
80.5	0.21632000000000001	0.78208	0.0
81	0.49919999999999998	0.46592	0.0
81.5	0.34943999999999997	0.58240000000000003	0.0
82	0.31616	0.66559999999999997	0.0
82.5	0.36608000000000002	0.68223999999999996	0.0
83	0.41599999999999998	0.66559999999999997	0.0
83.5	0.36608000000000002	0.63231999999999999	0.0
84	0.34943999999999997	0.56576000000000004	0.0
84.5	0.33279999999999998	0.73216000000000003	0.0
85	0.16639999999999999	0.74880000000000002	0.0
85.5	0.63231999999999999	0.44928000000000001	0.0
86	0.76544000000000001	0.23296	0.0
86.5	0.86528000000000005	0.083199999999999996	0.0
87	0.74880000000000002	0.29952000000000001	0.0
87.5	0.48255999999999999	0.51583999999999997	0.0
88	0.41599999999999998	0.58240000000000003	0.0
88.5	0.44928000000000001	0.39935999999999999	0.0
89	0.73216000000000003	0.41599999999999998	0.0
89.5	0.58240000000000003	0.43264000000000002	0.0
90	0.53247999999999995	0.44928000000000001	0.0
90.5	0.18304000000000001	0.79871999999999999	0.0
91	0.28288000000000002	0.58240000000000003	0.0
91.5	0.41599999999999998	0.71552000000000004	0.0
92	0.49919999999999998	0.49919999999999998	0.0
92.5	0.54912000000000005	0.31616	0.0
93	0.34943999999999997	0.68223999999999996	0.0
93.5	0.36608000000000002	0.64895999999999998	0.0
94	0.44928000000000001	0.63231999999999999	0.0
94.5	0.29952000000000001	0.66559999999999997	0.0
95	0.36608000000000002	0.68223999999999996	0.0
95.5	0.41599999999999998	0.43264000000000002	0.0
96	0.64895999999999998	0.49919999999999998	0.0
96.5	0.66559999999999997	0.33279999999999998	0.0
97	0.39935999999999999	0.59904000000000002	0.0
97.5	0.33279999999999998	0.66559999999999997	0.0
98	0.28288000000000002	0.69887999999999995	0.0
98.5	0.44928000000000001	0.56576000000000004	0.0
99	0.53247999999999995	0.46592	0.0
99.5	0.54912000000000005	0.44928000000000001	0.0
100	0.44928000000000001	0.54912000000000005	0.0
100.5	0.71552000000000004	0.29952000000000001	0.0
101	0.64895999999999998	0.34943999999999997	0.0
101.5	0.61568000000000001	0.38272	0.0
102	0.66559999999999997	0.24959999999999999	0.0
102.5	0.59904000000000002	0.48255999999999999	0.0
103	0.34943999999999997	0.53247999999999995	0.0
103.5	0.54912000000000005	0.56576000000000004	0.0
104	0.59904000000000002	0.28288000000000002	0.0
104.5	0.71552000000000004	0.39935999999999999	0.0
105	0.71552000000000004	0.28288000000000002	0.0
105.5	0.68223999999999996	0.33279999999999998	0.0
106	0.58240000000000003	0.31616	0.0
106.5	0.56576000000000004	0.53247999999999995	0.0
107	0.39935999999999999	0.59904000000000002	0.0
107.5	0.61568000000000001	0.34943999999999997	0.0
108	0.39935999999999999	0.49919999999999998	0.0
108.5	0.34943999999999997	0.76544000000000001	0.0
109	0.13311999999999999	0.66559999999999997	0.0
109.5	0.34943999999999997	0.48255999999999999	0.0
110	0.53247999999999995	0.39935999999999999	0.0
