Time	ThroughputH1	ThroughputH2	ThroughputH5
30	0.049919999999999999	0.0	0.0
30.5	0.0	0.0	0.0
31	0.0	0.0	0.0
31.5	0.016639999999999999	0.0	0.0
32	0.033279999999999997	0.0	0.0
32.5	0.0	0.0	0.0
33	0.0	0.0	0.0
33.5	0.0	0.0	0.0
34	0.083199999999999996	0.0	0.0
34.5	0.0	0.0	0.0
35	0.033279999999999997	0.0	0.0
35.5	0.083199999999999996	0.0	0.0
36	0.033279999999999997	0.0	0.0
36.5	0.016639999999999999	0.0	0.0
37	0.033279999999999997	0.0	0.0
37.5	0.0	0.0	0.0
38	0.0	0.0	0.0
38.5	0.083199999999999996	0.0	0.0
39	0.0	0.0	0.0
39.5	0.0	0.0	0.0
40	0.033279999999999997	0.0	0.0
40.5	0.049919999999999999	0.0	0.0
41	0.066559999999999994	0.0	0.0
41.5	0.016639999999999999	0.0	0.0
42	0.016639999999999999	0.0	0.0
42.5	0.0	0.0	0.0
43	0.0	0.0	0.0
43.5	0.0	0.0	0.0
44	0.0	0.0	0.0
44.5	0.11648	0.0	0.0
45	0.033279999999999997	0.0	0.0
45.5	0.0	0.0	0.0
46	0.0	0.0	0.0
46.5	0.016639999999999999	0.0	0.0
47	0.049919999999999999	0.0	0.0
47.5	0.049919999999999999	0.0	0.0
48	0.033279999999999997	0.0	0.0
48.5	0.0	0.0	0.0
49	0.033279999999999997	0.0	0.0
49.5	0.0	0.0	0.0
50	0.0	0.0	0.0
50.5	0.0	0.0	0.0
51	0.099839999999999998	0.0	0.0
51.5	0.0	0.0	0.0
52	0.033279999999999997	0.0	0.0
52.5	0.049919999999999999	0.0	0.0
53	0.0	0.0	0.0
53.5	0.016639999999999999	0.0	0.0
54	0.0	0.0	0.0
54.5	0.083199999999999996	0.0	0.0
55	0.016639999999999999	0.0	0.0
55.5	0.066559999999999994	0.0	0.0
56	0.049919999999999999	0.0	0.0
56.5	0.0	0.0	0.0
57	0.0	0.0	0.0
57.5	0.066559999999999994	0.0	0.0
58	0.066559999999999994	0.0	0.0
58.5	0.0	0.0	0.0
59	0.049919999999999999	0.0	0.0
59.5	0.0	0.0	0.0
60	0.0	0.0	0.0
60.5	0.11648	0.0	0.0
61	0.0	0.0	0.0
61.5	0.033279999999999997	0.0	0.0
62	0.0	0.0	0.0
62.5	0.0	0.0	0.0
63	0.0	0.0	0.0
63.5	0.0	0.0	0.0
64	0.099839999999999998	0.0	0.0
64.5	0.0	0.0	0.0
65	0.049919999999999999	0.0	0.0
65.5	0.0	0.0	0.0
66	0.0	0.0	0.0
66.5	0.049919999999999999	0.0	0.0
67	0.0	0.0	0.0
67.5	0.0	0.0	0.0
68	0.0	0.0	0.0
68.5	0.0	0.0	0.0
69	0.083199999999999996	0.0	0.0
69.5	0.0	0.0	0.0
70	0.066559999999999994	0.0	0.0
70.5	0.0	0.033279999999999997	0.0
71	0.0	0.0	0.0
71.5	0.049919999999999999	0.0	0.0
72	0.0	0.0	0.0
72.5	0.0	0.0	0.0
73	0.0	0.0	0.0
73.5	0.0	0.0	0.0
74	0.083199999999999996	0.0	0.0
74.5	0.0	0.0	0.0
75	0.066559999999999994	0.0	0.0
75.5	0.0	0.0	0.0
76	0.049919999999999999	0.0	0.0
76.5	0.0	0.0	0.0
77	0.0	0.0	0.0
77.5	0.049919999999999999	0.0	0.0
78	0.0	0.0	0.0
78.5	0.0	0.0	0.0
79	0.066559999999999994	0.0	0.0
79.5	0.033279999999999997	0.0	0.0
80	0.049919999999999999	0.0	0.0
80.5	0.0	0.0	0.0
81	0.066559999999999994	0.0	0.0
81.5	0.033279999999999997	0.0	0.0
82	0.083199999999999996	0.0	0.0
82.5	0.016639999999999999	0.0	0.0
83	0.0	0.0	0.0
83.5	0.033279999999999997	0.0	0.0
84	0.033279999999999997	0.0	0.0
84.5	0.0	0.0	0.0
85	0.0	0.0	0.0
85.5	0.11648	0.0	0.0
86	0.033279999999999997	0.0	0.0
86.5	0.016639999999999999	0.0	0.0
87	0.0	0.0	0.0
87.5	0.0	0.0	0.0
88	0.0	0.0	0.0
88.5	0.0	0.0	0.0
89	0.13311999999999999	0.0	0.0
89.5	0.0	0.0	0.0
90	0.033279999999999997	0.0	0.0
90.5	0.0	0.0	0.0
91	0.0	0.0	0.0
91.5	0.049919999999999999	0.0	0.0
92	0.033279999999999997	0.0	0.0
92.5	0.049919999999999999	0.0	0.0
93	0.0	0.0	0.0
93.5	0.0	0.0	0.0
94	0.066559999999999994	0.0	0.0
94.5	0.0	0.0	0.0
95	0.0	0.0	0.0
95.5	0.099839999999999998	0.0	0.0
96	0.0	0.0	0.0
96.5	0.0	0.0	0.0
97	0.033279999999999997	0.0	0.0
97.5	0.033279999999999997	0.0	0.0
98	0.0	0.0	0.0
98.5	0.0	0.0	0.0
99	0.099839999999999998	0.0	0.0
99.5	0.0	0.0	0.0
100	0.0	0.0	0.0
100.5	0.016639999999999999	0.0	0.0
101	0.0	0.0	0.0
101.5	0.066559999999999994	0.0	0.0
102	0.033279999999999997	0.0	0.0
102.5	0.049919999999999999	0.0	0.0
103	0.049919999999999999	0.0	0.0
103.5	0.0	0.0	0.0
104	0.016639999999999999	0.0	0.0
104.5	0.033279999999999997	0.0	0.0
105	0.0	0.0	0.0
105.5	0.0	0.0	0.0
106	0.066559999999999994	0.0	0.0
106.5	0.033279999999999997	0.0	0.0
107	0.049919999999999999	0.0	0.0
107.5	0.0	0.0	0.0
108	0.016639999999999999	0.0	0.0
108.5	0.0	0.0	0.0
109	0.0	0.0	0.0
109.5	0.0	0.0	0.0
110	0.099839999999999998	0.0	0.0
110.5	0.033279999999999997	0.0	0.0
111	0.0	0.0	0.0
111.5	0.0	0.0	0.0
112	0.066559999999999994	0.0	0.0
112.5	0.049919999999999999	0.0	0.0
113	0.016639999999999999	0.0	0.0
113.5	0.049919999999999999	0.0	0.0
114	0.0	0.0	0.0
114.5	0.033279999999999997	0.0	0.0
115	0.0	0.0	0.0
115.5	0.0	0.0	0.0
116	0.0	0.0	0.0
116.5	0.066559999999999994	0.0	0.0
117	0.049919999999999999	0.0	0.0
117.5	0.0	0.0	0.0
118	0.049919999999999999	0.0	0.0
118.5	0.0	0.0	0.0
119	0.0	0.0	0.0
119.5	0.083199999999999996	0.0	0.0
120	0.0	0.0	0.0
120.5	0.0	0.0	0.0
121	0.0	0.0	0.0
121.5	0.083199999999999996	0.0	0.0
122	0.016639999999999999	0.0	0.0
122.5	0.0	0.0	0.0
123	0.0	0.0	0.0
123.5	0.083199999999999996	0.0	0.0
124	0.0	0.0	0.0
124.5	0.066559999999999994	0.0	0.0
125	0.0	0.0	0.0
125.5	0.099839999999999998	0.0	0.0
126	0.0	0.0	0.0
126.5	0.083199999999999996	0.0	0.0
127	0.049919999999999999	0.0	0.0
127.5	0.016639999999999999	0.0	0.0
128	0.033279999999999997	0.0	0.0
128.5	0.0	0.0	0.0
129	0.0	0.0	0.0
129.5	0.083199999999999996	0.0	0.0
130	0.049919999999999999	0.0	0.0
130.5	0.016639999999999999	0.033279999999999997	0.0
131	0.0	0.0	0.0
131.5	0.0	0.0	0.0
132	0.083199999999999996	0.0	0.0
132.5	0.0	0.0	0.0
133	0.0	0.0	0.0
133.5	0.11648	0.0	0.0
134	0.0	0.0	0.0
134.5	0.0	0.0	0.0
135	0.033279999999999997	0.0	0.0
135.5	0.0	0.0	0.0
136	0.0	0.0	0.0
136.5	0.0	0.0	0.0
137	0.099839999999999998	0.0	0.0
137.5	0.0	0.0	0.0
