Time	Throughput1	Throughput2	Ratio
100	0.53247999999999995	0.48255999999999999	1.103448275862069
100.5	0.51583999999999997	0.48255999999999999	1.0689655172413792
101	0.51583999999999997	0.46592	1.107142857142857
101.5	0.53247999999999995	0.46592	1.1428571428571428
102	0.51583999999999997	0.49919999999999998	1.0333333333333332
102.5	0.53247999999999995	0.46592	1.1428571428571428
103	0.51583999999999997	0.46592	1.107142857142857
103.5	0.53247999999999995	0.48255999999999999	1.103448275862069
104	0.51583999999999997	0.48255999999999999	1.0689655172413792
104.5	0.53247999999999995	0.48255999999999999	1.103448275862069
105	0.51583999999999997	0.46592	1.107142857142857
105.5	0.53247999999999995	0.48255999999999999	1.103448275862069
106	0.53247999999999995	0.46592	1.1428571428571428
106.5	0.49919999999999998	0.48255999999999999	1.0344827586206897
107	0.53247999999999995	0.46592	1.1428571428571428
107.5	0.53247999999999995	0.48255999999999999	1.103448275862069
108	0.51583999999999997	0.48255999999999999	1.0689655172413792
108.5	0.51583999999999997	0.46592	1.107142857142857
109	0.53247999999999995	0.48255999999999999	1.103448275862069
109.5	0.53247999999999995	0.46592	1.1428571428571428
110	0.51583999999999997	0.49919999999999998	1.0333333333333332
110.5	0.53247999999999995	0.46592	1.1428571428571428
111	0.51583999999999997	0.46592	1.107142857142857
111.5	0.51583999999999997	0.48255999999999999	1.0689655172413792
112	0.53247999999999995	0.48255999999999999	1.103448275862069
112.5	0.51583999999999997	0.46592	1.107142857142857
113	0.53247999999999995	0.46592	1.1428571428571428
113.5	0.51583999999999997	0.49919999999999998	1.0333333333333332
114	0.53247999999999995	0.46592	1.1428571428571428
114.5	0.51583999999999997	0.48255999999999999	1.0689655172413792
115	0.53247999999999995	0.48255999999999999	1.103448275862069
115.5	0.53247999999999995	0.46592	1.1428571428571428
116	0.49919999999999998	0.48255999999999999	1.0344827586206897
116.5	0.53247999999999995	0.46592	1.1428571428571428
117	0.53247999999999995	0.48255999999999999	1.103448275862069
117.5	0.53247999999999995	0.46592	1.1428571428571428
118	0.49919999999999998	0.48255999999999999	1.0344827586206897
118.5	0.53247999999999995	0.48255999999999999	1.103448275862069
119	0.53247999999999995	0.46592	1.1428571428571428
119.5	0.49919999999999998	0.49919999999999998	1.0
120	0.54912000000000005	0.46592	1.1785714285714286
120.5	0.51583999999999997	0.46592	1.107142857142857
121	0.53247999999999995	0.46592	1.1428571428571428
121.5	0.51583999999999997	0.49919999999999998	1.0333333333333332
122	0.53247999999999995	0.46592	1.1428571428571428
122.5	0.51583999999999997	0.46592	1.107142857142857
123	0.51583999999999997	0.49919999999999998	1.0333333333333332
123.5	0.53247999999999995	0.46592	1.1428571428571428
124	0.51583999999999997	0.46592	1.107142857142857
124.5	0.53247999999999995	0.46592	1.1428571428571428
125	0.51583999999999997	0.49919999999999998	1.0333333333333332
125.5	0.53247999999999995	0.46592	1.1428571428571428
126	0.51583999999999997	0.48255999999999999	1.0689655172413792
126.5	0.53247999999999995	0.48255999999999999	1.103448275862069
127	0.53247999999999995	0.46592	1.1428571428571428
127.5	0.49919999999999998	0.48255999999999999	1.0344827586206897
128	0.53247999999999995	0.46592	1.1428571428571428
128.5	0.53247999999999995	0.48255999999999999	1.103448275862069
129	0.51583999999999997	0.46592	1.107142857142857
129.5	0.51583999999999997	0.48255999999999999	1.0689655172413792
130	0.53247999999999995	0.48255999999999999	1.103448275862069
130.5	0.53247999999999995	0.46592	1.1428571428571428
131	0.51583999999999997	0.49919999999999998	1.0333333333333332
131.5	0.53247999999999995	0.46592	1.1428571428571428
132	0.51583999999999997	0.46592	1.107142857142857
132.5	0.53247999999999995	0.48255999999999999	1.103448275862069
133	0.51583999999999997	0.48255999999999999	1.0689655172413792
133.5	0.51583999999999997	0.46592	1.107142857142857
134	0.53247999999999995	0.46592	1.1428571428571428
134.5	0.51583999999999997	0.49919999999999998	1.0333333333333332
135	0.53247999999999995	0.46592	1.1428571428571428
135.5	0.51583999999999997	0.48255999999999999	1.0689655172413792
136	0.53247999999999995	0.46592	1.1428571428571428
136.5	0.53247999999999995	0.48255999999999999	1.103448275862069
137	0.51583999999999997	0.48255999999999999	1.0689655172413792
137.5	0.51583999999999997	0.46592	1.107142857142857
138	0.53247999999999995	0.48255999999999999	1.103448275862069
138.5	0.53247999999999995	0.46592	1.1428571428571428
139	0.49919999999999998	0.48255999999999999	1.0344827586206897
139.5	0.53247999999999995	0.46592	1.1428571428571428
140	0.53247999999999995	0.48255999999999999	1.103448275862069
140.5	0.51583999999999997	0.48255999999999999	1.0689655172413792
141	0.53247999999999995	0.48255999999999999	1.103448275862069
141.5	0.51583999999999997	0.46592	1.107142857142857
142	0.53247999999999995	0.46592	1.1428571428571428
142.5	0.51583999999999997	0.49919999999999998	1.0333333333333332
143	0.53247999999999995	0.46592	1.1428571428571428
143.5	0.51583999999999997	0.46592	1.107142857142857
144	0.51583999999999997	0.48255999999999999	1.0689655172413792
144.5	0.53247999999999995	0.48255999999999999	1.103448275862069
145	0.51583999999999997	0.46592	1.107142857142857
145.5	0.53247999999999995	0.48255999999999999	1.103448275862069
146	0.53247999999999995	0.48255999999999999	1.103448275862069
146.5	0.53247999999999995	0.46592	1.1428571428571428
147	0.49919999999999998	0.48255999999999999	1.0344827586206897
147.5	0.53247999999999995	0.48255999999999999	1.103448275862069
148	0.53247999999999995	0.46592	1.1428571428571428
148.5	0.49919999999999998	0.48255999999999999	1.0344827586206897
149	0.53247999999999995	0.46592	1.1428571428571428
149.5	0.53247999999999995	0.48255999999999999	1.103448275862069
