Time	Throughput1	Throughput2	Ratio
100	0.73599999999999999	0.23999999999999999	3.0666666666666669
100.5	0.752	0.25600000000000001	2.9375
101	0.752	0.25600000000000001	2.9375
101.5	0.752	0.23999999999999999	3.1333333333333333
102	0.752	0.25600000000000001	2.9375
102.5	0.752	0.23999999999999999	3.1333333333333333
103	0.73599999999999999	0.25600000000000001	2.875
103.5	0.76800000000000002	0.25600000000000001	3.0
104	0.73599999999999999	0.23999999999999999	3.0666666666666669
104.5	0.752	0.25600000000000001	2.9375
105	0.752	0.25600000000000001	2.9375
105.5	0.752	0.23999999999999999	3.1333333333333333
106	0.752	0.25600000000000001	2.9375
106.5	0.752	0.23999999999999999	3.1333333333333333
107	0.73599999999999999	0.25600000000000001	2.875
107.5	0.76800000000000002	0.25600000000000001	3.0
108	0.73599999999999999	0.23999999999999999	3.0666666666666669
108.5	0.752	0.25600000000000001	2.9375
109	0.752	0.25600000000000001	2.9375
109.5	0.752	0.23999999999999999	3.1333333333333333
110	0.752	0.25600000000000001	2.9375
110.5	0.752	0.23999999999999999	3.1333333333333333
111	0.73599999999999999	0.25600000000000001	2.875
111.5	0.76800000000000002	0.25600000000000001	3.0
112	0.73599999999999999	0.23999999999999999	3.0666666666666669
112.5	0.752	0.25600000000000001	2.9375
113	0.752	0.25600000000000001	2.9375
113.5	0.752	0.23999999999999999	3.1333333333333333
114	0.752	0.25600000000000001	2.9375
114.5	0.752	0.23999999999999999	3.1333333333333333
115	0.73599999999999999	0.25600000000000001	2.875
115.5	0.76800000000000002	0.25600000000000001	3.0
116	0.73599999999999999	0.23999999999999999	3.0666666666666669
116.5	0.752	0.25600000000000001	2.9375
117	0.752	0.25600000000000001	2.9375
117.5	0.752	0.23999999999999999	3.1333333333333333
118	0.752	0.25600000000000001	2.9375
118.5	0.752	0.23999999999999999	3.1333333333333333
119	0.73599999999999999	0.25600000000000001	2.875
119.5	0.76800000000000002	0.25600000000000001	3.0
120	0.73599999999999999	0.23999999999999999	3.0666666666666669
120.5	0.752	0.25600000000000001	2.9375
121	0.752	0.25600000000000001	2.9375
121.5	0.752	0.23999999999999999	3.1333333333333333
122	0.752	0.25600000000000001	2.9375
122.5	0.752	0.23999999999999999	3.1333333333333333
123	0.73599999999999999	0.25600000000000001	2.875
123.5	0.76800000000000002	0.25600000000000001	3.0
124	0.73599999999999999	0.23999999999999999	3.0666666666666669
124.5	0.752	0.25600000000000001	2.9375
125	0.752	0.25600000000000001	2.9375
125.5	0.752	0.23999999999999999	3.1333333333333333
126	0.752	0.25600000000000001	2.9375
126.5	0.752	0.23999999999999999	3.1333333333333333
127	0.73599999999999999	0.25600000000000001	2.875
127.5	0.76800000000000002	0.25600000000000001	3.0
128	0.73599999999999999	0.23999999999999999	3.0666666666666669
128.5	0.752	0.25600000000000001	2.9375
129	0.752	0.25600000000000001	2.9375
129.5	0.752	0.23999999999999999	3.1333333333333333
130	0.752	0.25600000000000001	2.9375
130.5	0.752	0.23999999999999999	3.1333333333333333
131	0.73599999999999999	0.25600000000000001	2.875
131.5	0.76800000000000002	0.25600000000000001	3.0
132	0.73599999999999999	0.23999999999999999	3.0666666666666669
132.5	0.752	0.25600000000000001	2.9375
133	0.752	0.25600000000000001	2.9375
133.5	0.752	0.23999999999999999	3.1333333333333333
134	0.752	0.25600000000000001	2.9375
134.5	0.752	0.23999999999999999	3.1333333333333333
135	0.73599999999999999	0.25600000000000001	2.875
135.5	0.76800000000000002	0.25600000000000001	3.0
136	0.73599999999999999	0.23999999999999999	3.0666666666666669
136.5	0.752	0.25600000000000001	2.9375
137	0.752	0.25600000000000001	2.9375
137.5	0.752	0.23999999999999999	3.1333333333333333
138	0.752	0.25600000000000001	2.9375
138.5	0.752	0.23999999999999999	3.1333333333333333
139	0.73599999999999999	0.25600000000000001	2.875
139.5	0.76800000000000002	0.25600000000000001	3.0
140	0.73599999999999999	0.23999999999999999	3.0666666666666669
140.5	0.752	0.25600000000000001	2.9375
141	0.752	0.25600000000000001	2.9375
141.5	0.752	0.23999999999999999	3.1333333333333333
142	0.752	0.25600000000000001	2.9375
142.5	0.752	0.23999999999999999	3.1333333333333333
143	0.73599999999999999	0.25600000000000001	2.875
143.5	0.76800000000000002	0.25600000000000001	3.0
144	0.73599999999999999	0.23999999999999999	3.0666666666666669
144.5	0.752	0.25600000000000001	2.9375
145	0.752	0.25600000000000001	2.9375
145.5	0.752	0.23999999999999999	3.1333333333333333
146	0.752	0.25600000000000001	2.9375
146.5	0.752	0.23999999999999999	3.1333333333333333
147	0.73599999999999999	0.25600000000000001	2.875
147.5	0.76800000000000002	0.25600000000000001	3.0
148	0.73599999999999999	0.23999999999999999	3.0666666666666669
148.5	0.752	0.25600000000000001	2.9375
149	0.752	0.25600000000000001	2.9375
149.5	0.752	0.23999999999999999	3.1333333333333333
150	0.752	0.25600000000000001	2.9375
150.5	0.752	0.23999999999999999	3.1333333333333333
151	0.73599999999999999	0.25600000000000001	2.875
151.5	0.76800000000000002	0.25600000000000001	3.0
152	0.73599999999999999	0.23999999999999999	3.0666666666666669
152.5	0.752	0.25600000000000001	2.9375
153	0.752	0.25600000000000001	2.9375
153.5	0.752	0.23999999999999999	3.1333333333333333
154	0.752	0.25600000000000001	2.9375
154.5	0.752	0.23999999999999999	3.1333333333333333
155	0.73599999999999999	0.25600000000000001	2.875
155.5	0.76800000000000002	0.25600000000000001	3.0
156	0.73599999999999999	0.23999999999999999	3.0666666666666669
156.5	0.752	0.25600000000000001	2.9375
157	0.752	0.25600000000000001	2.9375
